Monster,Source,CR,Size,Type,Second Type,Elite,Legendary,NPC,Unique,AC,HP,STR,DEX,CON,INT,WIS,CHA,Proficiency Bonus,Maneuver DC,Variants,Base Creature
Young Amethyst Dragon,Monstrous Menagerie,9,Large,Dragon,N/A,0,0,0,0,17,133,16,16,16,18,12,16,4,15,0,0
Young Emerald Dragon,Monstrous Menagerie,9,Large,Dragon,N/A,0,0,0,0,17,133,18,18,16,18,12,16,4,16,0,0
Bonnie Blastfire,Gate Pass Gazette #17,12,Small,Humanoid,N/A,0,0,1,1,17,170,18,19,20,17,14,17,4,16,0,0
Seraph,To Save A Kingdom,12,Large,Celestial,N/A,0,0,0,0,17,133,14,24,19,17,14,15,4,19,0,0
Ching Shih (Zheng Shi),Mythological Figures & Maleficent Monsters ,9,Medium,Humanoid,N/A,0,0,1,1,17,143,10,18,14,16,14,16,4,16,0,0
Coven Winter Hag,Monstrous Menagerie,9,Medium,Fey,N/A,0,0,0,0,17,135,18,16,16,16,16,18,4,16,0,Winter Hag
Fateholder,Gate Pass Gazette #1,13,Large,Monstrosity,N/A,0,1,0,0,17,210,18,20,20,16,20,18,5,18,0,0
Winter Hag,Monstrous Menagerie,7,Medium,Fey,N/A,0,0,0,0,17,120,18,16,16,16,16,18,3,15,1,0
Marid,Monstrous Menagerie,11,Large,Elemental,N/A,0,0,0,0,17,172,22,16,22,16,14,16,4,18,1,0
Marid Noble,Monstrous Menagerie,11,Large,Elemental,N/A,1,0,0,0,17,344,22,16,22,16,14,16,4,18,0,Marid
Skeletal Warlord,Dungeon Delver's Guide,9,Medium,Undead,N/A,0,0,0,0,17,144,18,16,18,16,14,16,4,16,0,0
Noble of the Spade,Planestrider's Journal,15,Medium,Undead,N/A,0,1,0,0,17,247,18,17,20,16,19,15,5,17,0,0
Young Brass Dragon,Monstrous Menagerie,9,Large,Dragon,N/A,0,0,0,0,17,153,18,10,16,16,12,14,4,16,0,0
Young Copper Dragon,Monstrous Menagerie,9,Large,Dragon,N/A,0,0,0,0,17,144,18,12,16,16,12,14,4,16,0,0
Coven Night Hag,Monstrous Menagerie,7,Medium,Fey,N/A,0,0,0,0,17,120,18,14,16,16,14,16,3,15,0,Night Hag
Night Hag,Monstrous Menagerie,5,Medium,Fey,N/A,0,0,0,0,17,105,18,14,16,16,14,16,3,15,1,0
Balor (MF&MM),Mythological Figures & Maleficent Monsters ,15,Gargantuan,Giant,N/A,0,0,1,1,17,262,28,13,24,15,12,19,5,22,0,0
Ghenghis Khan,Mythological Figures & Maleficent Monsters ,9,Medium,Humanoid,N/A,0,0,1,1,17,180,14,14,16,15,11,14,4,14,0,0
Khyphon,To Save A Kingdom,12,Large,Celestial,N/A,0,0,0,0,17,150,19,16,15,15,19,14,4,16,0,0
Blas de Lezo y Olavarrieta,Mythological Figures & Maleficent Monsters ,9,Medium,Humanoid,N/A,0,0,1,1,17,171,14,14,20,14,10,14,4,14,0,0
Chupacabra,Mythological Figures & Maleficent Monsters ,13,Large,Beast,N/A,0,0,1,1,17,210,23,18,21,14,19,16,5,19,0,0
Efreeti,Monstrous Menagerie,11,Large,Elemental,N/A,0,0,0,0,17,172,22,18,22,14,16,16,4,18,1,0
Efreeti Noble,Monstrous Menagerie,11,Large,Elemental,N/A,1,0,0,0,17,344,22,18,22,14,16,16,4,18,0,Efreeti
Grace O'Malley,Mythological Figures & Maleficent Monsters ,10,Medium,Humanoid,N/A,0,0,1,1,17,130,14,18,14,14,12,14,4,16,0,0
Young Bronze Dragon,Monstrous Menagerie,10,Large,Dragon,N/A,0,0,0,0,17,152,20,10,18,14,12,18,4,17,0,0
Morgan le Fay,Mythological Figures & Maleficent Monsters ,13,Medium,Humanoid,N/A,0,0,1,1,17,97,9,18,14,14,14,20,5,17,0,0
Perseus,Mythological Figures & Maleficent Monsters ,10,Medium,Humanoid,N/A,0,0,1,1,17,82,11,16,12,14,10,14,4,15,0,0
Gold Dragon Wyrmling,Monstrous Menagerie,4,Medium,Dragon,N/A,0,0,0,0,17,75,18,14,16,14,12,16,2,14,0,0
Crypt Thing,To Save A Kingdom,5,Medium,Undead,N/A,0,0,0,0,17,52,19,14,15,13,14,15,3,15,0,0
Mary Read,Mythological Figures & Maleficent Monsters ,7,Medium,Humanoid,N/A,0,0,1,1,17,84,12,16,14,13,10,14,3,14,0,0
Metal Wolf,Planestrider's Journal,5,Large,Humanoid,N/A,0,0,0,0,17,68,20,17,16,13,12,11,3,16,0,0
Miyamoto Musashi,Mythological Figures & Maleficent Monsters ,12,Medium,Humanoid,N/A,0,0,1,1,17,169,16,20,14,13,9,11,4,17,0,0
Rhode Warden,Gate Pass Gazette #28,6,Medium,Humanoid,N/A,0,0,1,0,17,102,14,18,16,13,15,11,3,15,0,0
Aspect of Srasama,Adventures in Zeitgeist,N/A,Huge,Celestial,N/A,0,0,0,0,17,78,18,18,10,12,6,12,3,15,0,0
Earth Dragon Wyrmling,Monstrous Menagerie,3,Medium,Dragon,N/A,0,0,0,0,17,58,14,12,14,12,14,10,2,12,0,0
Julie d'Aubigny (La Maupin),Mythological Figures & Maleficent Monsters ,11,Medium,Humanoid,N/A,0,0,1,1,17,123,14,20,14,12,10,16,4,17,0,0
Luz Mala,Gate Pass Gazette #12,4,Small,Undead,N/A,0,0,0,0,17,45,2,24,10,12,18,12,2,17,0,Will-o-Wisp
Shadow Symbiote Knight,Dungeon Delver's Guide,7,Medium,Undead,N/A,0,0,0,0,17,110,18,14,18,12,14,16,3,15,0,0
Musō Gonnosuke,Mythological Figures & Maleficent Monsters ,6,Medium,Humanoid,N/A,0,0,1,1,17,71,16,16,12,12,11,10,3,14,0,0
Will-o-Wisp,Monstrous Menagerie,2,Small,Undead,N/A,0,0,0,0,17,28,2,24,10,12,14,12,2,17,1,0
Noble of the Heart,Planestrider's Journal,16,Medium,Monstrosity,N/A,0,1,0,0,17,247,20,17,20,12,13,19,5,18,0,0
Mummy Lord,Monstrous Menagerie,15,Medium,Undead,N/A,0,1,0,0,17,221,18,10,18,12,18,16,5,17,0,0
Young River Dragon,Monstrous Menagerie,9,Large,Dragon,N/A,0,0,0,0,17,142,14,16,14,12,16,12,4,15,0,0
Young Shadow Dragon,Monstrous Menagerie,10,Large,Dragon,N/A,0,0,0,0,17,114,18,14,18,12,12,18,4,16,0,0
Blue Dragon Wyrmling,Monstrous Menagerie,3,Medium,Dragon,N/A,0,0,0,0,17,58,16,12,14,12,10,14,2,13,0,0
Red Dragon Wyrmling,Monstrous Menagerie,4,Medium,Dragon,N/A,0,0,0,0,17,75,18,12,16,12,10,14,2,14,0,0
Silver Dragon Wyrmling,Monstrous Menagerie,3,Medium,Dragon,N/A,0,0,0,0,17,60,18,14,16,12,10,14,2,14,0,0
Mohrg,To Save A Kingdom,11,Medium,Undead,N/A,0,0,0,0,17,136,20,21,19,11,14,18,4,17,0,0
Penner the Pigfarmer,To Save A Kingdom,6,Small,Undead,N/A,0,0,1,1,17,112,18,17,18,11,15,12,3,15,0,0
Unholy Huntmaster,Planestrider's Journal,17,Medium,Fiend,N/A,0,0,0,0,17,152,20,15,20,11,15,16,6,19,0,0
Drider,Monstrous Menagerie,6,Large,Monstrosity,N/A,0,0,0,0,17,114,18,16,18,10,16,12,3,15,1,0
Shadow Elf Spellcaster Drider,Monstrous Menagerie,6,Large,Monstrosity,N/A,0,0,1,0,17,114,18,16,18,10,16,12,3,15,0,Drider
Brass Man,Adventures in Zeitgeist,3,Medium,Construct,N/A,0,0,0,0,17,36,18,10,10,10,11,8,2,14,0,0
Chain Devil,Monstrous Menagerie,9,Medium,Fiend,N/A,0,0,0,0,17,127,18,14,18,10,12,16,4,16,0,0
Chained One,Monstrous Menagerie,13,Large,Fiend,N/A,0,0,0,0,17,199,18,14,18,10,12,16,5,17,0,0
Forgotten Death God,Monstrous Menagerie,10,Large,Celestial,N/A,0,1,0,0,17,161,20,18,20,10,20,20,4,17,0,Forgotten God
Forgotten God,Monstrous Menagerie,10,Large,Celestial,N/A,0,1,0,0,17,161,20,18,20,10,20,20,4,17,2,0
Forgotten Nature God,Monstrous Menagerie,10,Large,Celestial,N/A,0,1,0,0,17,161,20,18,20,10,20,20,4,17,0,Forgotten God
Goblin Dreadnought,Monstrous Menagerie,0.5,Small,Humanoid,N/A,0,0,0,0,17,10,8,12,10,10,10,10,2,11,0,Goblin
Stone Giant,Monstrous Menagerie,8,Huge,Giant,N/A,0,0,0,0,17,126,23,14,20,10,12,10,3,17,1,0
Stone Giant Stonetalker,Monstrous Menagerie,8,Huge,Giant,N/A,0,0,0,0,17,126,23,14,20,10,12,10,3,17,0,Stone Giant
Black Dragon Wyrmling,Monstrous Menagerie,2,Medium,Dragon,N/A,0,0,0,0,17,44,14,16,12,10,10,12,2,13,0,0
Talos,Mythological Figures & Maleficent Monsters ,5,Medium,Humanoid,N/A,0,0,1,1,17,52,16,16,14,10,10,10,3,14,0,0
Cyclops Myrmidon,Monstrous Menagerie,10,Huge,Giant,N/A,0,0,0,0,17,126,20,10,20,8,10,10,4,17,0,Cyclops
Young White Dragon,Monstrous Menagerie,9,Large,Dragon,N/A,0,0,0,0,17,152,18,10,18,8,12,12,4,16,0,0
Giant Earth Elemental,Monstrous Menagerie,9,Large,Elemental,N/A,0,0,0,0,17,157,18,10,18,6,10,6,4,16,0,Earth Elemental
Earth Elemental,Monstrous Menagerie,5,Large,Elemental,N/A,0,0,0,0,17,114,18,10,18,6,10,6,3,15,1,0
Shield Guardian,Monstrous Menagerie,7,Large,Construct,N/A,0,0,0,0,17,133,18,10,18,6,10,3,3,15,0,0
Detritivore Larva,Planestrider's Journal,12,Large,Aberration,N/A,0,0,0,0,17,180,20,20,18,5,10,16,4,17,0,0
Storm Elemental,Planestrider's Journal,15,Huge,Elemental,N/A,0,0,0,0,17,250,20,24,23,5,10,8,5,20,0,0
Remorhaz,Monstrous Menagerie,12,Huge,Monstrosity,N/A,0,0,0,0,17,195,22,12,20,4,12,5,4,18,0,0
Sea Serpent,Monstrous Menagerie,16,Gargantuan,Monstrosity,N/A,0,0,0,0,17,247,28,10,22,4,14,8,5,22,0,0
Cù-Sìth,Mythological Figures & Maleficent Monsters ,7,Large,Fey,N/A,0,0,1,1,17,127,18,17,16,3,15,16,3,15,0,0
Stone Colossus,Monstrous Menagerie,16,Gargantuan,Construct,N/A,0,1,0,0,17,263,22,10,20,3,12,1,5,19,0,Stone Guardian
Stone Guardian,Monstrous Menagerie,10,Large,Construct,N/A,0,0,0,0,17,178,22,10,20,3,12,1,4,18,1,0
Witchoil Automaton,Adventures in Zeitgeist,7,Large,Construct,N/A,0,0,0,0,17,134,20,6,14,3,11,1,3,16,0,0
Giant Grick,Monstrous Menagerie,2,Medium,Monstrosity,N/A,0,0,0,0,17,90,20,14,14,2,14,5,2,15,0,0
Bulette,Monstrous Menagerie,6,Large,Monstrosity,N/A,0,0,0,0,17,95,18,10,18,2,10,8,3,15,0,0
Vampiric Dire Bear,To Save A Kingdom,10,Huge,Undead,N/A,0,1,0,0,17,114,21,14,16,2,13,7,4,17,0,0
Flying Sword,Monstrous Menagerie,0.25,Small,Construct,N/A,0,0,0,0,17,10,12,12,10,1,10,1,2,11,0,0
Piercer,Monstrous Menagerie,0.25,Small,Monstrosity,N/A,0,0,0,0,17,9,0,10,12,1,6,2,2,10,0,0
Nebradakk,To Save A Kingdom,18,Medium,Aberration,N/A,0,1,0,1,16,255,16,18,19,23,16,19,6,18,0,0
Kalle Sirkesalo,To Save A Kingdom,18,Medium,Humanoid,N/A,0,0,1,1,16,130,11,12,16,20,13,15,6,15,0,0
Gourd Empress,Gate Pass Gazette #20,11,Large,Plant,N/A,0,1,0,0,16,161,18,17,18,19,20,21,4,16,0,0
Couatl,Monstrous Menagerie,4,Medium,Celestial,N/A,0,0,0,0,16,85,18,18,18,18,20,18,2,14,0,0
Khalkos,Monstrous Menagerie,9,Medium,Aberration,N/A,0,0,0,0,16,130,12,16,14,18,16,16,4,15,0,0
Prospero,Mythological Figures & Maleficent Monsters ,9,Medium,Humanoid,N/A,0,0,1,1,16,105,9,16,16,18,11,14,4,15,0,0
Shadowspinner,Planestrider's Journal,11,Large,Monstrosity,N/A,0,1,0,0,16,178,16,20,15,18,16,16,4,17,0,0
Accursed Spirit Naga,Monstrous Menagerie,8,Large,Monstrosity,N/A,0,0,0,0,16,85,16,16,16,16,14,16,3,14,0,Spirit Naga
Archfey,Monstrous Menagerie,12,Medium,Fey,N/A,1,0,0,0,16,330,16,20,16,16,20,20,4,17,0,Faerie Noble
Corrupted Bluestone,To Save A Kingdom,5,Medium,Undead,N/A,0,0,1,1,16,75,13,6,16,16,12,5,3,12,0,0
Elder Vampire,Monstrous Menagerie,11,Medium,Undead,N/A,1,1,0,0,16,285,20,18,20,16,16,18,4,17,0,Vampire
Faerie Noble,Monstrous Menagerie,12,Medium,Fey,N/A,0,0,0,0,16,165,16,20,16,16,20,20,4,17,2,0
Dr. John Watson,Mythological Figures & Maleficent Monsters ,5,Medium,Humanoid,N/A,0,0,1,1,16,77,12,16,12,16,14,11,3,14,0,0
Fiendbloom Fey Queen Nidla,Monstrous Menagerie,12,Medium,Fey,Plant,0,0,0,0,16,165,16,20,16,16,20,20,4,17,0,Faerie Noble
Rakshasa,Monstrous Menagerie,13,Medium,Fiend,N/A,0,0,0,0,16,161,16,16,18,16,16,20,5,16,0,0
Storm Giant,Monstrous Menagerie,14,Huge,Giant,N/A,0,0,0,0,16,230,29,14,20,16,18,18,5,22,1,0
Storm Giant Monarch,Monstrous Menagerie,14,Huge,Giant,N/A,1,0,0,0,16,460,29,14,20,16,18,18,5,22,0,Storm Giant
Vampire,Monstrous Menagerie,11,Medium,Undead,N/A,0,1,0,0,16,142,20,18,20,16,16,18,4,17,4,0
Vampire Assassin,Monstrous Menagerie,12,Medium,Undead,N/A,0,1,0,0,16,142,20,18,20,16,16,18,4,17,0,Vampire
Vampire Mage,Monstrous Menagerie,13,Medium,Undead,N/A,0,1,0,0,16,142,20,18,20,16,16,18,5,18,0,Vampire
Cambion,Monstrous Menagerie,5,Medium,Fiend,N/A,0,0,0,0,16,93,18,18,18,16,14,18,3,15,0,0
Khalkos Spawn,Monstrous Menagerie,2,Tiny,Aberration,N/A,0,0,0,0,16,27,6,16,14,16,14,12,2,13,0,0
Urban Detective,Planestrider's Journal,6,Medium,Humanoid,N/A,0,0,0,0,16,71,13,18,133,16,18,15,3,15,0,0
Spirit Naga,Monstrous Menagerie,6,Large,Monstrosity,N/A,0,0,0,0,16,85,16,16,16,16,14,16,3,14,1,0
Swarm of Khalkos Spawn,Monstrous Menagerie,2,Medium,Aberration,N/A,0,0,0,0,16,71,6,16,14,16,14,12,2,13,0,0
Amethyst Dragon Wyrmling,Monstrous Menagerie,2,Medium,Dragon,N/A,0,0,0,0,16,45,14,14,14,16,10,14,2,12,0,0
Blastfire Captain,Gate Pass Gazette #17,6,Medium,Humanoid,N/A,0,0,1,0,16,119,16,17,18,15,12,15,3,14,0,0
Crazed Troll,To Save A Kingdom,7,Large,Giant,N/A,0,0,0,0,16,84,18,16,20,15,9,7,3,15,0,0
Easter Bunny,Mythological Figures & Maleficent Monsters ,12,Small,Humanoid,N/A,0,0,1,1,16,170,15,22,20,15,15,16,4,18,0,0
Infernal Dwarf,To Save A Kingdom,3,Medium,Fiend,N/A,0,0,0,0,16,65,14,11,14,15,12,13,2,12,0,0
Blackbeard,Mythological Figures & Maleficent Monsters ,7,Medium,Humanoid,N/A,0,0,1,1,16,104,14,16,14,14,10,14,3,14,0,0
Circe,Mythological Figures & Maleficent Monsters ,7,Medium,Fey,N/A,0,0,1,1,16,95,14,19,20,14,19,21,3,15,0,0
Djinni,Monstrous Menagerie,11,Large,Elemental,N/A,0,0,0,0,16,172,18,22,22,14,16,20,4,18,1,0
Djinni Noble,Monstrous Menagerie,11,Large,Elemental,N/A,1,0,0,0,16,344,18,22,22,14,16,20,4,18,0,Djinni
George Washington,Mythological Figures & Maleficent Monsters ,7,Medium,Humanoid,N/A,0,0,1,1,16,150,12,16,16,14,14,18,3,14,0,0
Young Green Dragon,Monstrous Menagerie,10,Huge,Dragon,N/A,0,0,0,0,16,55,14,14,12,14,10,12,4,14,0,0
Headless Horseman,Mythological Figures & Maleficent Monsters ,6,Medium,Undead,N/A,0,0,1,1,16,68,18,16,19,14,15,17,3,15,0,0
Knight of the Diamond,Planestrider's Journal,5,Medium,Aberration,N/A,0,0,0,0,16,90,13,18,16,14,13,13,3,15,0,0
Brass Dragon Wyrmling,Monstrous Menagerie,2,Medium,Dragon,N/A,0,0,0,0,16,38,14,12,12,14,12,12,2,12,0,0
Somnula,To Save A Kingdom,6,Large,Fiend,N/A,0,0,0,0,16,57,19,14,19,14,14,15,3,15,0,0
Ogre Mage,Monstrous Menagerie,7,Large,Giant,N/A,0,0,0,0,16,102,18,10,16,14,12,16,3,15,0,0
Copper Dragon Wyrmling,Monstrous Menagerie,2,Medium,Dragon,N/A,0,0,0,0,16,44,15,12,13,14,11,13,2,12,0,0
Emerald Dragon Wyrmling,Monstrous Menagerie,2,Medium,Dragon,N/A,0,0,0,0,16,45,14,14,12,14,10,12,2,12,0,0
Green Dragon Wyrmling,Monstrous Menagerie,3,Huge,Dragon,N/A,0,0,0,0,16,55,14,14,12,14,10,12,2,12,0,0
Zhuang Zhou,Mythological Figures & Maleficent Monsters ,3,Medium,Humanoid,N/A,0,0,1,1,16,38,9,14,12,14,16,16,2,12,0,0
Anne Bonny,Mythological Figures & Maleficent Monsters ,6,Medium,Humanoid,N/A,0,0,1,1,16,60,12,18,12,13,12,14,3,15,0,0
Corrupted Andrew Nemeth,To Save A Kingdom,6,Medium,Undead,N/A,0,0,1,1,16,55,20,18,13,13,17,20,3,16,0,0
Harry Houdini,Mythological Figures & Maleficent Monsters ,7,Medium,Humanoid,N/A,0,0,1,1,16,78,12,18,14,13,10,16,3,15,0,0
Motleymage,To Save A Kingdom,3,Medium,Humanoid,N/A,0,0,0,0,16,85,17,18,19,13,16,14,2,14,0,0
Tomoe Gozen,Mythological Figures & Maleficent Monsters ,9,Medium,Humanoid,N/A,0,0,1,1,16,143,16,14,12,13,14,13,4,15,0,0
Allan Quartermain,Mythological Figures & Maleficent Monsters ,9,Medium,Humanoid,N/A,0,0,1,1,16,97,14,18,14,12,14,13,4,16,0,0
Strider,Monstrous Menagerie,5,Medium,Humanoid,N/A,0,0,1,0,16,90,12,18,16,12,18,12,3,15,1,0
Wood Elf Sharpshooter,Monstrous Menagerie,5,Medium,Humanoid,N/A,0,0,1,0,16,90,12,18,16,12,18,12,3,15,0,Strider
Billy the Kid,Mythological Figures & Maleficent Monsters ,6,Medium,Humanoid,N/A,0,0,1,1,16,65,14,18,14,12,9,14,3,15,0,0
Azer Forgemaster,Monstrous Menagerie,4,Medium,Elemental,N/A,0,0,0,0,16,78,18,14,14,12,16,16,2,14,0,0
Fey Knight,Monstrous Menagerie,4,Medium,Fey,N/A,0,0,0,0,16,58,14,18,14,12,16,16,2,14,0,0
David,Mythological Figures & Maleficent Monsters ,4,Medium,Humanoid,N/A,0,0,1,1,16,52,13,18,12,12,14,12,2,14,0,0
Robin Hood,Mythological Figures & Maleficent Monsters ,7,Medium,Humanoid,N/A,0,0,1,1,16,66,12,18,12,12,12,15,3,15,0,0
Troll Hulk,Dungeon Delver's Guide,15,Huge,Giant,N/A,0,0,0,0,16,250,24,12,22,12,16,10,5,20,1,0
Troll King,Dungeon Delver's Guide,15,Huge,Giant,N/A,1,1,0,0,16,500,24,12,22,12,16,10,5,20,0,Troll Hulk
Sheeltielle the Queen Spider,To Save A Kingdom,7,Gargantuan,Beast,N/A,0,0,1,1,16,80,17,16,12,12,13,17,3,14,0,0
Assassin,Monstrous Menagerie,7,Medium,Humanoid,N/A,0,0,1,0,16,97,10,16,14,12,12,12,3,14,1,0
Goblin Boss,Monstrous Menagerie,1,Small,Humanoid,N/A,0,0,0,0,16,24,12,14,10,12,12,12,2,12,0,0
Swift Sendriya,Planestrider's Journal,7,Medium,Celestial,N/A,0,0,0,0,16,90,12,18,16,12,18,12,3,15,0,0
Half-Shadow Dragon Assassin,Monstrous Menagerie,7,Medium,Humanoid,N/A,0,0,0,0,16,97,10,16,14,12,12,12,3,14,0,0
Spymaster,Monstrous Menagerie,7,Medium,Humanoid,N/A,0,0,1,0,16,97,10,16,14,12,12,12,3,14,0,Assassin
Bronze Dragon Wyrmling,Monstrous Menagerie,3,Medium,Dragon,N/A,0,0,0,0,16,39,16,10,14,12,10,14,2,13,0,0
Black Axe,To Save A Kingdom,6,Medium,Humanoid,N/A,0,0,1,1,16,90,19,18,17,11,12,15,3,15,0,0
Boudica,Mythological Figures & Maleficent Monsters ,5,Medium,Humanoid,N/A,0,0,1,1,16,66,14,16,12,11,12,16,3,14,0,0
Ōphan,To Save A Kingdom,10,Small,Celestial,N/A,0,0,0,0,16,115,12,17,15,11,14,18,4,15,0,0
River Dragon Wyrmling,Monstrous Menagerie,2,Medium,Dragon,N/A,0,0,0,0,16,44,12,14,12,10,14,10,2,12,0,0
Behir,Monstrous Menagerie,11,Huge,Monstrosity,N/A,0,0,0,0,16,168,20,14,18,10,16,12,4,17,1,0
Behir Magus,Blog/A5e Tools,12,Huge,Monstrosity,N/A,0,0,0,0,16,168,20,14,18,10,16,12,4,17,0,Behir
Firebird,Monstrous Menagerie,10,Large,Elemental,N/A,0,0,0,0,16,144,16,20,16,10,12,12,4,17,0,0
Frankenstein's Monster,Mythological Figures & Maleficent Monsters ,10,Medium,Humanoid,N/A,0,0,1,1,16,136,20,9,18,10,16,8,4,17,0,0
Hobgoblin,Monstrous Menagerie,0.5,Medium,Humanoid,N/A,0,0,0,0,16,19,13,12,14,10,10,10,2,11,0,0
Azer,Monstrous Menagerie,2,Medium,Elemental,N/A,0,0,0,0,16,39,16,12,14,10,12,10,2,13,0,0
Champion Warrior,Monstrous Menagerie,5,Medium,Humanoid,N/A,0,0,1,0,16,90,18,18,16,10,12,14,3,15,3,0
Greater Spirit Soldier,To Save A Kingdom,3,Large,Celestial,N/A,0,0,0,0,16,52,17,15,15,10,15,11,2,13,0,0
Duelist,Monstrous Menagerie,5,Medium,Humanoid,N/A,0,0,1,0,16,90,18,18,16,10,12,14,3,15,0,Champion Warrior
Gladiator,Monstrous Menagerie,6,Medium,Humanoid,N/A,0,0,1,0,16,105,18,14,16,10,12,14,3,15,0,0
Mountain Dwarf Soldier,Monstrous Menagerie,0.5,Medium,Humanoid,N/A,0,0,1,0,16,19,14,12,14,10,10,10,2,12,0,Soldier
Sahuagin Champion,Monstrous Menagerie,5,Medium,Humanoid,N/A,0,0,0,0,16,90,18,18,16,10,12,14,3,15,0,0
Shadow Elf Champion Warrior,Monstrous Menagerie,5,Medium,Humanoid,N/A,0,0,1,0,16,90,18,18,16,10,12,14,3,15,0,Champion Warrior
Warhordling Orc War Chief,Monstrous Menagerie,5,Medium,Humanoid,N/A,0,0,1,0,16,90,18,18,16,10,12,14,3,15,0,Champion Warrior
Soldier,Monstrous Menagerie,0.5,Medium,Humanoid,N/A,0,0,1,0,16,19,14,12,14,10,10,10,2,12,2,0
Rustshot,Planestrider's Journal,6,Tiny,Construct,N/A,0,0,0,0,16,93,10,19,16,10,13,15,3,15,0,0
Deep Dwarf Soldier,Monstrous Menagerie,1,Medium,Humanoid,N/A,0,0,1,0,16,19,14,12,14,10,10,10,2,12,0,Soldier
Shadow Elf Veteran,To Save A Kingdom,3,Medium,Humanoid,N/A,0,0,0,0,16,58,16,12,14,10,15,10,2,13,0,0
Half-Red Dragon Veteran,Monstrous Menagerie,3,Medium,Humanoid,N/A,0,0,0,0,16,58,16,12,14,10,10,10,2,13,0,0
Kobold Broodguard,Monstrous Menagerie,2,Small,Humanoid,N/A,0,0,0,0,16,44,14,14,14,10,10,12,2,12,1,0
Kobold Broodguard Dragon Servitor,Monstrous Menagerie,2,Small,Humanoid,N/A,0,0,0,0,16,44,14,14,14,10,10,12,2,12,0,Kobold Broodguard
Shadow Dragon Wyrmling,Monstrous Menagerie,3,Medium,Dragon,N/A,0,0,0,0,16,52,14,14,14,10,10,14,2,12,0,0
Soldier Squad,Monstrous Menagerie,5,Large,Humanoid,N/A,0,0,1,0,16,97,14,12,14,10,10,10,3,13,0,0
Veteran,Monstrous Menagerie,3,Medium,Humanoid,N/A,0,0,1,0,16,58,16,12,14,10,10,10,2,13,0,0
Gilgamesh,Mythological Figures & Maleficent Monsters ,10,Medium,Humanoid,N/A,0,0,1,1,16,156,20,16,14,9,16,11,4,17,0,0
Hydrodaemon,To Save A Kingdom,6,Large,Fiend,N/A,0,0,0,0,16,76,17,14,18,9,15,14,3,14,0,0
Tarzan,Mythological Figures & Maleficent Monsters ,6,Medium,Humanoid,N/A,0,0,1,1,16,90,16,16,16,9,13,9,3,14,0,0
Aracnecore,Monstrous Menagerie,5,Large,Monstrosity,N/A,0,0,0,0,16,85,16,14,16,8,12,8,3,14,0,0
Hezrou,Monstrous Menagerie,10,Large,Fiend,N/A,0,0,0,0,16,136,18,16,20,8,12,12,4,16,0,0
Murmuring Worm,Monstrous Menagerie,12,Huge,Aberration,N/A,0,0,0,0,16,195,20,12,20,8,14,18,4,17,0,0
Carrionettes,Planestrider's Journal,3,Medium,Construct,N/A,0,0,0,0,16,68,19,10,19,7,8,6,2,14,0,0
Wailrus,Gate Pass Gazette #21,11,Huge,Undead,N/A,0,1,0,0,16,162,20,9,22,7,12,15,4,17,0,0
Abrikandilu,To Save A Kingdom,5,Large,Fiend,N/A,0,0,0,0,16,65,17,11,12,6,10,13,3,14,0,0
Smoke Elemental,Planestrider's Journal,12,Huge,Elemental,N/A,0,0,0,0,16,195,20,23,20,6,10,7,4,18,0,0
White Dragon Wyrmling,Monstrous Menagerie,2,Medium,Dragon,N/A,0,0,0,0,16,45,14,12,14,6,10,10,2,12,0,0
Chuul,Monstrous Menagerie,5,Large,Aberration,N/A,0,0,0,0,16,93,18,10,16,5,16,10,3,15,1,0
Spell-warped Chuul,Monstrous Menagerie,7,Large,Aberration,N/A,0,0,0,0,16,127,18,10,16,5,16,10,3,15,0,Chuul
Ankheg Empress,To Save A Kingdom,8,Gargantuan,Monstrosity,N/A,0,0,0,0,16,174,21,14,19,4,17,10,3,16,0,0
Mutant Rust Monster,Dungeon Delver's Guide,8,Large,Monstrosity,N/A,0,0,0,0,16,126,20,12,20,4,12,6,3,16,1,0
Supermutant Rust Monster,Dungeon Delver's Guide,12,Huge,Monstrosity,N/A,0,0,0,0,16,195,20,12,20,4,12,6,4,17,0,Mutant Rust Monster
Pale Striganes,Planestrider's Journal,5,Medium,Monstrosity,N/A,0,0,0,0,16,55,12,18,12,3,15,11,3,15,0,0
Young Red Dragon Zombie,Monstrous Menagerie,11,Large,Undead,N/A,0,0,0,0,16,178,22,6,20,3,8,4,4,18,0,0
Zombie Knight,Monstrous Menagerie,3,Medium,Undead,N/A,0,0,0,0,16,52,16,6,14,3,8,4,2,13,1,0
Ankylosaurus,Monstrous Menagerie,3,Huge,Beast,N/A,0,0,0,0,16,63,18,10,18,2,12,5,2,14,1,0
Stegosaurus,Monstrous Menagerie,3,Huge,Beast,N/A,0,0,0,0,16,63,18,10,18,2,12,5,2,14,0,Ankylosaurus
Fiendish Dire Boar,To Save A Kingdom,3,Large,Monstrosity,N/A,0,0,0,0,16,59,18,15,17,2,15,8,2,14,0,0
Hydra,Monstrous Menagerie,9,Huge,Monstrosity,N/A,0,1,0,0,16,172,20,12,20,2,12,6,4,17,1,0
Pyrohydra,Monstrous Menagerie,13,Huge,Monstrosity,N/A,0,1,0,0,16,218,20,12,20,2,12,6,5,18,0,Hydra
